timestamp,value,value_failed,unit
2024-01-01 00:00:00,341.89860048090145,341.89860048090145,vehicles/hr
2024-01-01 01:00:00,378.3328202116707,378.3328202116707,vehicles/hr
2024-01-01 02:00:00,422.6730659208136,422.6730659208136,vehicles/hr
2024-01-01 03:00:00,468.41251780262155,468.41251780262155,vehicles/hr
2024-01-01 04:00:00,521.6089789603632,521.6089789603632,vehicles/hr
2024-01-01 05:00:00,559.9035772514472,559.9035772514472,vehicles/hr
2024-01-01 06:00:00,577.9871073874822,577.9871073874822,vehicles/hr
2024-01-01 07:00:00,596.476951317241,596.476951317241,vehicles/hr
2024-01-01 08:00:00,575.264723478183,575.264723478183,vehicles/hr
2024-01-01 09:00:00,587.0780580129081,587.0780580129081,vehicles/hr
2024-01-01 10:00:00,524.8203940269774,524.8203940269774,vehicles/hr
2024-01-01 11:00:00,547.6501526643063,547.6501526643063,vehicles/hr
2024-01-01 12:00:00,462.46285238983324,462.46285238983324,vehicles/hr
2024-01-01 13:00:00,386.0644625266846,386.0644625266846,vehicles/hr
2024-01-01 14:00:00,334.826667813581,334.826667813581,vehicles/hr
2024-01-01 15:00:00,321.9483446014993,321.9483446014993,vehicles/hr
2024-01-01 16:00:00,269.9320803375932,269.9320803375932,vehicles/hr
2024-01-01 17:00:00,259.44534610296733,259.44534610296733,vehicles/hr
2024-01-01 18:00:00,236.07182824342618,236.07182824342618,vehicles/hr
2024-01-01 19:00:00,218.54979488994977,218.54979488994977,vehicles/hr
2024-01-01 20:00:00,208.88255301953907,208.88255301953907,vehicles/hr
2024-01-01 21:00:00,213.34548191355108,213.34548191355108,vehicles/hr
2024-01-01 22:00:00,263.3188889602526,263.3188889602526,vehicles/hr
2024-01-01 23:00:00,326.7939027798821,326.7939027798821,vehicles/hr
2024-01-02 00:00:00,357.59417726121615,357.59417726121615,vehicles/hr
2024-01-02 01:00:00,375.2635887219514,375.2635887219514,vehicles/hr
2024-01-02 02:00:00,450.49574433617767,450.49574433617767,vehicles/hr
2024-01-02 03:00:00,498.34879597737927,498.34879597737927,vehicles/hr
2024-01-02 04:00:00,510.3247193909708,510.3247193909708,vehicles/hr
2024-01-02 05:00:00,559.6084992859849,559.6084992859849,vehicles/hr
2024-01-02 06:00:00,575.4353714619475,575.4353714619475,vehicles/hr
2024-01-02 07:00:00,557.1308655727549,557.1308655727549,vehicles/hr
2024-01-02 08:00:00,580.4525677167609,580.4525677167609,vehicles/hr
2024-01-02 09:00:00,565.8681296826918,565.8681296826918,vehicles/hr
2024-01-02 10:00:00,547.003909921841,547.003909921841,vehicles/hr
2024-01-02 11:00:00,508.4654506484914,508.4654506484914,vehicles/hr
2024-01-02 12:00:00,415.8559806836352,415.8559806836352,vehicles/hr
2024-01-02 13:00:00,377.67922007356816,377.67922007356816,vehicles/hr
